channel,campaign_code,adset_name,ad_name,destination_url,url_parameters,status
meta,sep26_database_cold,cold_f_35_54_broad,feed_database_science_human_v1,https://hilitcaspi.com/database,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_database_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_database_cold,cold_m_25_44_broad,feed_database_method_v1,https://hilitcaspi.com/database,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_database_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_database_cold,cold_m_45_54_broad,reel_database_intent_v1,https://hilitcaspi.com/database,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_database_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_database_retarget,rt_database_30d_no_purchase,reel_quantity_vs_quality_data_v1,https://hilitcaspi.com/database,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_database_retarget&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_holiday_bundle_cold,cold_f_35_54_broad,feed_holiday_action_bundle_v1,https://hilitcaspi.com/new-year-love,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_holiday_bundle_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_holiday_bundle_cold,cold_m_25_44_broad,story_holiday_table_future_v1,https://hilitcaspi.com/new-year-love,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_holiday_bundle_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_holiday_bundle_cold,cold_all_25_54_broad,reel_holiday_hilit_explains_v1,https://hilitcaspi.com/new-year-love,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_holiday_bundle_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_holiday_bundle_cold,cold_m_45_54_broad,feed_value_stack_1245_to_449_v1,https://hilitcaspi.com/new-year-love,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_holiday_bundle_cold&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_holiday_retarget,rt_holiday_page_30d_no_purchase,reel_quantity_vs_quality_data_v1,https://hilitcaspi.com/new-year-love#how-it-works,utm_source=meta&utm_medium=paid_social&utm_campaign=sep26_holiday_retarget&utm_term={{adset.name}}&utm_content={{ad.name}}&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
meta,sep26_ig_boost_holiday,ig_engagers_and_followers,ig_boost_holiday_action_v1,https://hilitcaspi.com/new-year-love,utm_source=instagram&utm_medium=paid_social&utm_campaign=sep26_ig_boost_holiday&utm_term=ig_engagers_and_followers&utm_content=ig_boost_holiday_action_v1&meta_campaign_id={{campaign.id}}&meta_adset_id={{adset.id}}&meta_ad_id={{ad.id}}&placement={{placement}}&site_source_name={{site_source_name}},ready
brevo,sep26_holiday_bundle,email_list,launch_email_01,https://hilitcaspi.com/new-year-love,utm_source=brevo&utm_medium=email&utm_campaign=sep26_holiday_bundle&utm_content=launch_email_01,ready
whatsapp,sep26_holiday_bundle,whatsapp_group,group_launch_01,https://hilitcaspi.com/new-year-love,utm_source=whatsapp&utm_medium=owned_social&utm_campaign=sep26_holiday_bundle&utm_content=group_launch_01,ready
instagram,sep26_holiday_bundle,organic_story,story_link_01,https://hilitcaspi.com/new-year-love,utm_source=instagram&utm_medium=organic_social&utm_campaign=sep26_holiday_bundle&utm_content=story_link_01,ready
